15:42:51.885	127.0.0.1:52291	admin	OK	CLOSE[0]	0.1 ms
15:42:51.886	127.0.0.1:52291	admin	REQUEST	EXIT	0.43 ms
15:42:51.886	127.0.0.1:52291	admin	OK		0.2 ms
15:42:53.504	127.0.0.1:52293	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:deleteTrack("7 rings", "Ariana Grande")	0.23 ms
15:42:53.566	127.0.0.1:52293	admin	OK	EXEC[0]	61.17 ms
15:42:53.566	127.0.0.1:52293	admin	OK	CLOSE[0]	0.07 ms
15:42:53.567	127.0.0.1:52293	admin	REQUEST	EXIT	0.43 ms
15:42:53.567	127.0.0.1:52293	admin	OK		0.2 ms
15:42:53.575	127.0.0.1:52294	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.12 ms
15:42:53.582	127.0.0.1:52294	admin	OK	EXEC[0]	6.39 ms
15:42:53.582	127.0.0.1:52294	admin	OK	CLOSE[0]	0.13 ms
15:42:53.583	127.0.0.1:52294	admin	REQUEST	EXIT	0.33 ms
15:42:53.583	127.0.0.1:52294	admin	OK		0.15 ms
15:42:54.446	127.0.0.1:52296	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.25 ms
15:42:54.454	127.0.0.1:52296	admin	OK	EXEC[0]	7.42 ms
15:42:54.454	127.0.0.1:52296	admin	OK	CLOSE[0]	0.07 ms
15:42:54.455	127.0.0.1:52296	admin	REQUEST	EXIT	0.56 ms
15:42:54.455	127.0.0.1:52296	admin	OK		0.2 ms
15:42:55.758	127.0.0.1:52298	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.2 ms
15:42:55.776	127.0.0.1:52298	admin	OK	EXEC[0]	18.11 ms
15:42:55.776	127.0.0.1:52298	admin	OK	CLOSE[0]	0.1 ms
15:42:55.777	127.0.0.1:52298	admin	REQUEST	EXIT	0.47 ms
